C1QC	C1QB	4444427	4438900	9606.ENSP00000363770	9606.ENSP00000313967	0	0	0.426	0.927	0.989	0.454	0.900	0.893	0.999
RPS18	RPS3	4447787	4436296	9606.ENSP00000393241	9606.ENSP00000278572	0.295	0	0	0	0.995	0.963	0.900	0.809	0.999
RPS3A	RPS3	4441583	4436296	9606.ENSP00000346050	9606.ENSP00000278572	0	0	0.265	0	0.995	0.963	0.900	0.657	0.999
PSMA3	PSMC4	4432961	4432671	9606.ENSP00000216455	9606.ENSP00000157812	0.059	0	0.201	0	0.798	0.994	0.900	0.429	0.999
RPL23	RPS9	4449110	4437909	9606.ENSP00000420311	9606.ENSP00000302896	0.219	0	0	0	0.970	0.992	0.900	0.701	0.999
RPL10A	RPL7	4444285	4440987	9606.ENSP00000363018	9606.ENSP00000339795	0.111	0	0	0	0.996	0.992	0.900	0.583	0.999
RPS27	RPL38	4443123	4438543	9606.ENSP00000357555	9606.ENSP00000309830	0	0	0	0	0.998	0.994	0.900	0.728	0.999
RPL23	RPS14	4449110	4447293	9606.ENSP00000420311	9606.ENSP00000385958	0.219	0	0.380	0	0.999	0.992	0.900	0.447	0.999
RPS27	RPL7	4443123	4440987	9606.ENSP00000357555	9606.ENSP00000339795	0	0	0	0	0.990	0.989	0.900	0.605	0.999
RPL14	RPL7	4446520	4440987	9606.ENSP00000379506	9606.ENSP00000339795	0.081	0	0	0	0.995	0.990	0.900	0.756	0.999
RPS18	RPS3A	4447787	4441583	9606.ENSP00000393241	9606.ENSP00000346050	0	0	0	0	0.997	0.992	0.900	0.349	0.999
RPL7	RPLP2	4440987	4439523	9606.ENSP00000339795	9606.ENSP00000322419	0	0	0	0	0.925	0.983	0.900	0.550	0.999
RPL6	RPL14	4448260	4446520	9606.ENSP00000403172	9606.ENSP00000379506	0	0	0	0	0.993	0.991	0.900	0.871	0.999
RPL5	RPS21	4443502	4441569	9606.ENSP00000359345	9606.ENSP00000345957	0	0	0	0	0.992	0.971	0.900	0.602	0.999
RPS14	RPL8	4447293	4435108	9606.ENSP00000385958	9606.ENSP00000262584	0.167	0	0.406	0	0.998	0.992	0.900	0.702	0.999
COPS5	COPS4	4442056	4435427	9606.ENSP00000350512	9606.ENSP00000264389	0	0	0	0	0.639	0.994	0.900	0.917	0.999
EEF2	RPS23	4438372	4437320	9606.ENSP00000307940	9606.ENSP00000296674	0.111	0	0	0	0.638	0.967	0.900	0.396	0.999
STX2	SNAP23	4446013	4434103	9606.ENSP00000376178	9606.ENSP00000249647	0	0	0	0	0.079	0.995	0.800	0.865	0.999
GAD1	SLC32A1	4442087	4433019	9606.ENSP00000350928	9606.ENSP00000217420	0	0	0	0	0.934	0	0.900	0.878	0.999
RPS18	RPS9	4447787	4437909	9606.ENSP00000393241	9606.ENSP00000302896	0.219	0	0	0	0.978	0.992	0.900	0.715	0.999
RPL30	RPL10A	4449429	4444285	9606.ENSP00000428085	9606.ENSP00000363018	0	0	0	0	0.983	0.992	0.900	0.711	0.999
RPS21	RPS3	4441569	4436296	9606.ENSP00000345957	9606.ENSP00000278572	0	0	0	0	0.986	0.960	0.900	0.286	0.999
RPS19	RPL14	4450976	4446520	9606.ENSP00000470972	9606.ENSP00000379506	0	0	0	0	0.982	0.991	0.900	0.762	0.999
RPL23	RPS23	4449110	4437320	9606.ENSP00000420311	9606.ENSP00000296674	0.219	0	0.334	0	0.993	0.992	0.900	0.367	0.999
VAMP2	SNAP25	4438921	4434401	9606.ENSP00000314214	9606.ENSP00000254976	0	0	0	0	0.176	0.973	0.900	0.965	0.999
RPL6	RPS21	4448260	4441569	9606.ENSP00000403172	9606.ENSP00000345957	0	0	0	0	0.981	0.978	0.900	0.362	0.999
RPS19	RPS23	4450976	4437320	9606.ENSP00000470972	9606.ENSP00000296674	0	0	0	0	0.993	0.992	0.900	0.725	0.999
RPL23	RPL6	4449110	4448260	9606.ENSP00000420311	9606.ENSP00000403172	0.185	0	0	0	0.993	0.992	0.900	0.530	0.999
RPS27	RPS9	4443123	4437909	9606.ENSP00000357555	9606.ENSP00000302896	0	0	0	0	0.912	0.991	0.900	0.484	0.999
EIF4E	EIF4EBP1	4449328	4441074	9606.ENSP00000425561	9606.ENSP00000340691	0	0	0	0	0	0.903	0.900	0.985	0.999
RPS21	RPS9	4441569	4437909	9606.ENSP00000345957	9606.ENSP00000302896	0	0	0	0	0.948	0.964	0.900	0.389	0.999
RPS19	RPS27	4450976	4443123	9606.ENSP00000470972	9606.ENSP00000357555	0.179	0	0	0	0.998	0.991	0.900	0.703	0.999
